x,y,p_xx,p_xy,p_yy,landmark_detected
-0.0263248,0.0364327,0.0427881,0.0335141,0.0427703,0
-0.0262893,0.0364341,0.0427983,0.0335155,0.0427735,0
-0.0262893,0.0364341,0.0427983,0.0335155,0.0427735,0
-0.026264,0.0364351,0.0428085,0.0335166,0.0427761,0
-0.026264,0.0364351,0.0428085,0.0335166,0.0427761,0
-0.026264,0.0364351,0.0428085,0.0335166,0.0427761,0
-0.0262168,0.0364369,0.0428189,0.0335183,0.04278,0
-0.0262168,0.0364369,0.0428189,0.0335183,0.04278,0
-0.0261179,0.0364408,0.0428296,0.0335215,0.0427871,0
-0.0261179,0.0364408,0.0428296,0.0335215,0.0427871,0
-0.0260609,0.0364431,0.04284,0.0335236,0.0427916,0
-0.0259259,0.0364484,0.042851,0.0335279,0.0428009,0
-0.0259259,0.0364484,0.042851,0.0335279,0.0428009,0
-0.025876,0.0364504,0.0428614,0.0335297,0.042805,0
-0.025876,0.0364504,0.0428614,0.0335297,0.042805,0
-0.025876,0.0364504,0.0428614,0.0335297,0.042805,0
-0.025851,0.0364514,0.0428716,0.0335308,0.0428076,0
-0.025851,0.0364514,0.0428716,0.0335308,0.0428076,0
-0.0257952,0.0364536,0.042882,0.0335328,0.042812,0
-0.0257952,0.0364536,0.042882,0.0335328,0.042812,0
-0.0257883,0.0364539,0.042892,0.0335333,0.0428135,0
-0.0257883,0.0364539,0.042892,0.0335333,0.0428135,0
-0.0257049,0.0364571,0.0429027,0.0335361,0.0428196,0
-0.0257049,0.0364571,0.0429027,0.0335361,0.0428196,0
-0.0256106,0.0364608,0.0429134,0.0335392,0.0428264,0
-0.0256106,0.0364608,0.0429134,0.0335392,0.0428264,0
-0.0256067,0.0364609,0.0429234,0.0335397,0.0428277,0
-0.0256067,0.0364609,0.0429234,0.0335397,0.0428277,0
-0.0255914,0.0364615,0.0429335,0.0335405,0.0428296,0
-0.0255914,0.0364615,0.0429335,0.0335405,0.0428296,0
-0.0255914,0.0364615,0.0429335,0.0335405,0.0428296,0
-0.0254936,0.0364652,0.0429442,0.0335437,0.0428367,0
-0.0254936,0.0364652,0.0429442,0.0335437,0.0428367,0
-0.0254795,0.0364657,0.0429543,0.0335444,0.0428386,0
-0.0254783,0.0364657,0.0429643,0.0335448,0.0428396,0
-0.0254783,0.0364657,0.0429643,0.0335448,0.0428396,0
-0.0254545,0.0364666,0.0429745,0.0335458,0.0428421,0
-0.0254545,0.0364666,0.0429745,0.0335458,0.0428421,0
-0.0253418,0.036471,0.0429853,0.0335495,0.0428501,0
-0.0253418,0.036471,0.0429853,0.0335495,0.0428501,0
-0.0252474,0.0364747,0.0429961,0.0335526,0.0428569,0
-0.0251888,0.0364769,0.0430065,0.0335547,0.0428615,0
-0.0251888,0.0364769,0.0430065,0.0335547,0.0428615,0
-0.025144,0.0364787,0.0430168,0.0335563,0.0428653,0
-0.025144,0.0364787,0.0430168,0.0335563,0.0428653,0
-0.025014,0.0364837,0.0430278,0.0335605,0.0428743,0
-0.025014,0.0364837,0.0430278,0.0335605,0.0428743,0
-0.0249179,0.0364875,0.0430385,0.0335636,0.0428813,0
-0.0248622,0.0364897,0.0430489,0.0335656,0.0428857,0
-0.0248622,0.0364897,0.0430489,0.0335656,0.0428857,0
-0.0248274,0.0364911,0.0430592,0.033567,0.0428889,0
-0.0248274,0.0364911,0.0430592,0.033567,0.0428889,0
-0.0247215,0.0364953,0.04307,0.0335705,0.0428964,0
-0.0247215,0.0364953,0.04307,0.0335705,0.0428964,0
-0.0246658,0.0364975,0.0430804,0.0335724,0.0429008,0
-0.0246658,0.0364975,0.0430804,0.0335724,0.0429008,0
-0.0246658,0.0364975,0.0430804,0.0335724,0.0429008,0
-0.024589,0.0365005,0.043091,0.033575,0.0429066,0
-0.024589,0.0365005,0.043091,0.033575,0.0429066,0
-0.0244456,0.0365061,0.043102,0.0335796,0.0429164,0
-0.0243804,0.0365087,0.0431125,0.0335819,0.0429215,0
-0.0243804,0.0365087,0.0431125,0.0335819,0.0429215,0
-0.0243246,0.036511,0.0431229,0.0335839,0.0429259,0
-0.0242994,0.036512,0.0431331,0.033585,0.0429285,0
